Day of Week,Date,Subways: % of Comparable Pre-Pandemic Day,7-day Averge,Subway Mobility Index,Avg. Ridership
1,2020-07-13,0.222,0.2205714285714286,122.05714285714286,1011690.2857142857
2,2020-07-14,0.22399999999999998,0.22228571428571434,122.22857142857144,1023713.2857142857
3,2020-07-15,0.228,0.22471428571428578,122.47142857142859,1034632
4,2020-07-16,0.231,0.2261428571428572,122.61428571428571,1040065.2857142857
5,2020-07-17,0.23199999999999998,0.23200000000000004,123.2,1065342.857142857
6,2020-07-18,0.295,0.2414285714285715,124.14285714285715,1077619
7,2020-07-19,0.26899999999999996,0.24300000000000005,124.30000000000001,1071416.142857143
1,2020-07-20,0.22899999999999998,0.24400000000000002,124.4,1068696
2,2020-07-21,0.23600000000000002,0.24571428571428575,124.57142857142858,1068809.5714285714
3,2020-07-22,0.221,0.24471428571428575,124.47142857142856,1066698.142857143
4,2020-07-23,0.222,0.24342857142857147,124.34285714285716,1064490
5,2020-07-24,0.23,0.2431428571428572,124.31428571428572,1066055.2857142857
6,2020-07-25,0.268,0.23928571428571432,123.92857142857143,1071438.2857142857
7,2020-07-26,0.249,0.23642857142857146,123.64285714285714,1074574.5714285714
1,2020-07-27,0.23399999999999999,0.23714285714285718,123.71428571428571,1081284
2,2020-07-28,0.23,0.23628571428571435,123.62857142857145,1081264.142857143
3,2020-07-29,0.242,0.23928571428571432,123.92857142857143,1090192.142857143
4,2020-07-30,0.233,0.2408571428571429,124.08571428571429,1095405.142857143
5,2020-07-31,0.24100000000000002,0.24242857142857147,124.24285714285715,1101165
6,2020-08-01,0.28,0.2441428571428572,124.41428571428573,1104874.857142857
7,2020-08-02,0.24100000000000002,0.24300000000000008,124.30000000000001,1102478.142857143
1,2020-08-03,0.248,0.24500000000000005,124.50000000000001,1112452.7142857143
2,2020-08-04,0.192,0.23957142857142863,123.95714285714286,1081635.7142857143
3,2020-08-05,0.257,0.24171428571428577,124.17142857142858,1089085.142857143
4,2020-08-06,0.24600000000000002,0.24357142857142863,124.35714285714286,1098356.7142857143
5,2020-08-07,0.249,0.2447142857142858,124.47142857142859,1102023.4285714286
6,2020-08-08,0.276,0.24414285714285722,124.41428571428573,1100697.857142857
7,2020-08-09,0.268,0.24800000000000005,124.8,1111121.7142857143
1,2020-08-10,0.254,0.24885714285714292,124.88571428571429,1111452
2,2020-08-11,0.257,0.2581428571428572,125.81428571428572,1153493.7142857143
3,2020-08-12,0.248,0.25685714285714295,125.68571428571428,1146502.4285714286
4,2020-08-13,0.243,0.2564285714285715,125.64285714285714,1140278
5,2020-08-14,0.271,0.2595714285714286,125.95714285714286,1150587
6,2020-08-15,0.301,0.2631428571428572,126.31428571428572,1154539.857142857
7,2020-08-16,0.244,0.25971428571428573,125.97142857142858,1139016.7142857143
1,2020-08-17,0.271,0.2621428571428572,126.21428571428572,1143199.5714285714
2,2020-08-18,0.26899999999999996,0.2638571428571429,126.38571428571427,1150283.857142857
3,2020-08-19,0.255,0.2648571428571429,126.4857142857143,1149261.5714285714
4,2020-08-20,0.27699999999999997,0.26971428571428574,126.97142857142858,1166290.2857142857
5,2020-08-21,0.285,0.27171428571428574,127.17142857142858,1170780.857142857
6,2020-08-22,0.304,0.2721428571428572,127.21428571428572,1173870.857142857
7,2020-08-23,0.28800000000000003,0.27842857142857147,127.84285714285714,1190615.5714285714
1,2020-08-24,0.26899999999999996,0.2781428571428572,127.81428571428573,1190981
2,2020-08-25,0.259,0.27671428571428575,127.67142857142856,1187662
3,2020-08-26,0.271,0.279,127.89999999999999,1204193.4285714286
4,2020-08-27,0.258,0.27628571428571436,127.62857142857142,1196719
5,2020-08-28,0.28300000000000003,0.2760000000000001,127.60000000000001,1196871.4285714286
6,2020-08-29,0.266,0.27057142857142863,127.05714285714286,1181310.2857142857
7,2020-08-30,0.3,0.27228571428571435,127.22857142857143,1192266.4285714286
1,2020-08-31,0.264,0.27157142857142863,127.15714285714286,1205173.142857143
2,2020-09-01,0.27699999999999997,0.2741428571428572,127.41428571428573,1222766.857142857
3,2020-09-02,0.271,0.2741428571428572,127.41428571428573,1234268.2857142857
4,2020-09-03,0.266,0.27528571428571436,127.52857142857144,1258751.7142857143
5,2020-09-04,0.27899999999999997,0.27471428571428574,127.47142857142858,1284499.4285714286
6,2020-09-05,0.315,0.28171428571428575,128.17142857142858,1318682.4285714286
7,2020-09-06,0.326,0.2854285714285715,128.54285714285714,1328784.4285714286
1,2020-09-07,0.391,0.30357142857142866,130.35714285714286,1253316.7142857143
2,2020-09-08,0.264,0.30171428571428577,130.17142857142858,1265719.7142857143
3,2020-09-09,0.271,0.30171428571428577,130.17142857142858,1283219.857142857
4,2020-09-10,0.26,0.3008571428571429,130.0857142857143,1285298.857142857
5,2020-09-11,0.28800000000000003,0.30214285714285716,130.2142857142857,1302762.142857143
6,2020-09-12,0.34600000000000003,0.3065714285714286,130.65714285714284,1312759.4285714286
7,2020-09-13,0.311,0.30442857142857144,130.44285714285715,1309494.2857142857
1,2020-09-14,0.28300000000000003,0.2890000000000001,128.9,1414597.4285714286
2,2020-09-15,0.282,0.29157142857142865,129.15714285714287,1432092
3,2020-09-16,0.282,0.2931428571428572,129.31428571428572,1443055.2857142857
4,2020-09-17,0.281,0.2961428571428572,129.61428571428573,1464329.5714285714
5,2020-09-18,0.289,0.2962857142857143,129.62857142857143,1469334.4285714286
6,2020-09-19,0.342,0.29571428571428576,129.57142857142858,1477080.2857142857
7,2020-09-20,0.317,0.29657142857142865,129.65714285714287,1481597.5714285714
1,2020-09-21,0.28300000000000003,0.29657142857142865,129.65714285714287,1484417.5714285714
2,2020-09-22,0.28300000000000003,0.29671428571428576,129.67142857142858,1487353.4285714286
3,2020-09-23,0.287,0.2974285714285715,129.74285714285716,1494301.7142857143
4,2020-09-24,0.285,0.29800000000000004,129.8,1498615.2857142857
5,2020-09-25,0.3,0.29957142857142866,129.95714285714286,1503828
6,2020-09-26,0.349,0.3005714285714286,130.05714285714288,1501289
7,2020-09-27,0.33299999999999996,0.3028571428571429,130.2857142857143,1503834.5714285714
1,2020-09-28,0.313,0.3071428571428572,130.71428571428572,1484545.2857142857
2,2020-09-29,0.321,0.3125714285714286,131.25714285714287,1479198.2857142857
3,2020-09-30,0.293,0.3134285714285715,131.34285714285716,1479981.2857142857
4,2020-10-01,0.301,0.3157142857142858,131.57142857142858,1492521.4285714286
5,2020-10-02,0.299,0.31557142857142856,131.55714285714285,1496650.2857142857
6,2020-10-03,0.35,0.3157142857142858,131.57142857142858,1503492.857142857
